genconame,ANTA_CRF,ANTA_GF,ANTA_LF,ANTA_RF,AURY_CRF,AURY_GF,AURY_LF,AURY_RF,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DADR_CRF,DADRI_GF,DADRI_LF,DADRI_RF,DADRI_T2,DHAULIGNGA,DULHASTI,FARAKKA,JHAJJAR,KGSU1AND2,KGSU3AND4,KAHLGAN1,KAHLGAN2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NAPP,NJPC,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI3,RAMPUR,RAPPB,RAPPC,RIHAND1,RIHAND2,RIHAND3,RSTPS1TO6,RSTOSU7,SALAL,SASAN,SEWA2,SIMHST1,SIMHST2,SNGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TANAKPUR,TANDA2,TEHRI,TelanganaSTPP,UNCHHAR1,UNCHHAR2,UNCHHAR3,UNCHAHAR4,URI,URI2,VALLURNTECL
41,0,0,0,7.01349495,0,0,0,11.7088488,,1.1001848,0,2.0253783,1.63391305,0,0,0,14.8794668,5.1318036,6.197158,8.22744945,3.509792,292.3201215,,,7.5798008,16.6833238,,,,0,,0,,6.9748635,17.9028806,,,,,,,2.363834,0,0,8.7140416,7.7625933,20.0419857,0,,,0,18.98325,0,,,23.0349966,,2.0636902,,2.0096934,0,,,3.469928,3.2114016,0,0,7.5443654,4.5408594,
42,0,0,0,7.01349495,0,0,0,11.7088488,,1.1001848,0,2.0253783,1.63391305,0,0,0,14.6724116,5.1318036,6.197158,8.22744945,3.509792,292.3201215,,,7.5798008,16.6833238,,,,0,,0,,6.9748635,17.9028806,,,,,,,2.363834,0,0,8.7140416,7.7625933,20.0419857,0,,,0,18.98325,0,,,23.0349966,,2.0636902,,2.0096934,0,,,3.469928,3.2114016,0,0,8.4758102,4.5408594,
43,0,0,0,7.01349495,0,0,0,11.7088488,,1.1001848,0,2.0253783,1.63391305,0,0,0,14.6724116,5.1318036,6.197158,8.22744945,3.509792,292.3201215,,,7.5798008,16.6833238,,,,0,,0,,6.9748635,21.8177839,,,,,,,2.363834,0,0,8.7140416,7.7625933,20.0419857,0,,,0,18.98325,0,,,23.0349966,,2.0636902,,2.0096934,0,,,3.469928,3.2114016,0,0,8.4758102,4.5408594,
44,0,0,0,7.01349495,0,0,0,11.7088488,,1.1001848,0,2.0253783,1.63391305,0,0,0,14.6724116,5.1318036,6.197158,8.22744945,3.509792,292.3201215,,,7.5798008,16.6833238,,,,0,,0,,6.9748635,21.8177839,,,,,,,2.363834,0,0,8.7140416,7.7625933,20.0419857,0,,,0,18.98325,0,,,23.0349966,,2.0636902,,2.0096934,0,,,3.469928,3.2114016,0,0,8.4758102,4.5408594,
45,0,0,0,7.01349495,0,0,0,11.7088488,,1.1001848,0,2.0253783,1.63391305,0,0,0,14.6724116,5.1318036,6.197158,8.22744945,3.509792,292.3201215,,,7.5798008,16.6833238,,,,0,,0,,6.9748635,21.8177839,,,,,,,2.363834,0,0,8.7140416,7.7625933,20.0419857,0,,,0,18.98325,0,,,23.0349966,,2.0636902,,2.0096934,0,,,3.469928,3.2114016,0,0,7.5443654,4.5408594,
46,0,0,0,7.01349495,0,0,0,11.7088488,,1.1001848,0,2.0253783,1.63391305,0,0,0,14.6724116,5.1318036,6.197158,8.22744945,3.509792,292.3201215,,,7.5798008,16.6833238,,,,0,,0,,6.9748635,21.8177839,,,,,,,2.363834,0,0,8.7140416,7.7625933,20.0419857,0,,,0,18.98325,0,,,23.0349966,,2.0636902,,2.0096934,0,,,3.469928,3.2114016,0,0,7.5443654,4.5408594,
47,0,0,0,7.01349495,0,0,0,11.7088488,,1.1001848,0,2.0253783,1.63391305,0,0,0,14.6724116,5.1318036,6.197158,8.22744945,3.509792,292.3201215,,,7.5798008,16.6833238,,,,0,,0,,6.9748635,21.8177839,,,,,,,2.363834,0,0,8.7140416,7.7625933,20.0419857,0,,,0,18.98325,0,,,23.0349966,,2.0636902,,2.0096934,0,,,3.469928,3.2114016,0,0,7.5443654,4.99402365,
48,0,0,0,7.01349495,0,0,0,11.7088488,,1.1001848,0,2.0253783,1.63391305,0,0,0,14.6724116,5.1318036,6.197158,8.22744945,3.509792,292.3201215,,,7.5798008,16.6833238,,,,0,,0,,6.9748635,21.8177839,,,,,,,2.363834,0,0,8.7140416,7.7625933,20.0419857,0,,,0,18.98325,0,,,23.0349966,,2.0636902,,2.0096934,0,,,3.469928,3.2114016,0,0,7.5443654,4.99402365,
49,0,0,0,6.9610772,0,0,0,11.7088488,,1.1001848,0,2.0253783,1.63391305,0,0,0,14.6724116,5.1318036,6.197158,8.22744945,3.509792,292.3201215,,,7.5798008,16.6833238,,,,0,,0,,6.9748635,21.8177839,,,,,,,2.363834,0,0,8.7140416,7.7625933,20.0419857,0,,,0,18.98325,0,,,23.0349966,,2.0636902,,2.0096934,0,,,3.469928,3.2114016,0,0,7.5443654,4.99402365,
50,0,0,0,6.9610772,0,0,0,11.7088488,,1.1001848,0,2.0253783,1.63391305,0,0,0,14.6724116,5.1318036,6.197158,8.22744945,3.509792,292.3201215,,,7.5798008,16.6833238,,,,0,,0,,6.9748635,21.8177839,,,,,,,2.363834,0,0,8.7140416,7.7625933,20.0419857,0,,,0,18.98325,0,,,23.0349966,,2.0636902,,2.0096934,0,,,3.469928,3.2114016,0,0,7.5443654,4.99402365,
